service_id,date,exception_type
92118_merged_14708352,20200310,1
92118_merged_14708352,20200311,1
92118_merged_14708352,20200312,1
92118_merged_14708352,20200313,1
92118_merged_14708352,20200219,1
92118_merged_14708352,20200218,1
92118_merged_14708352,20200330,1
92118_merged_14708352,20200317,1
92118_merged_14708352,20200318,1
92118_merged_14708352,20200127,1
92118_merged_14708352,20200331,1
92118_merged_14708352,20200211,1
92118_merged_14708352,20200210,1
92118_merged_14708352,20200213,1
92118_merged_14708352,20200212,1
92118_merged_14708352,20200402,1
92118_merged_14708352,20200316,1
92118_merged_14708352,20200214,1
92118_merged_14708352,20200130,1
92118_merged_14708352,20200131,1
92118_merged_14708352,20200319,1
62113_merged_14708353,20200411,1
62113_merged_14708353,20200328,1
62113_merged_14708353,20200404,1
62113_merged_14708353,20200320,1
62113_merged_14708353,20200327,1
62113_merged_14708353,20200403,1
62113_merged_14708353,20200208,1
62113_merged_14708353,20200313,1
62113_merged_14708353,20200307,1
62113_merged_14708353,20200306,1
62113_merged_14708353,20200215,1
62113_merged_14708353,20200314,1
62113_merged_14708353,20200201,1
62113_merged_14708353,20200207,1
62113_merged_14708353,20200321,1
62113_merged_14708353,20200221,1
62113_merged_14708353,20200222,1
62113_merged_14708353,20200214,1
62113_merged_14708353,20200131,1
62113_merged_14708353,20200410,1
62113_merged_14708353,20200228,1
62113_merged_14708353,20200229,1
7018531-1111100-31,20200128,1
7018531-1111100-31,20200311,1
7018531-1111100-31,20200211,1
7018531-1111100-31,20200226,1
7018531-1111100-31,20200213,1
7018531-1111100-31,20200210,1
7018531-1111100-31,20200310,1
7018531-1111100-31,20200302,1
7018531-1111100-31,20200312,1
7018531-1111100-31,20200313,1
7018531-1111100-31,20200219,1
7018531-1111100-31,20200218,1
7018531-1111100-31,20200203,1
7018531-1111100-31,20200309,1
7018531-1111100-31,20200212,1
7018531-1111100-31,20200206,1
7018531-1111100-31,20200207,1
7018531-1111100-31,20200204,1
7018531-1111100-31,20200205,1
7018531-1111100-31,20200224,1
7018531-1111100-31,20200225,1
7018531-1111100-31,20200129,1
7018531-1111100-31,20200227,1
7018531-1111100-31,20200220,1
7018531-1111100-31,20200221,1
7018531-1111100-31,20200130,1
7018531-1111100-31,20200131,1
7018531-1111100-31,20200228,1
7018531-1111100-31,20200127,1
92118_merged_14708355,20200423,1
92118_merged_14708355,20200605,1
92118_merged_14708355,20200424,1
92118_merged_14708355,20200602,1
92118_merged_14708355,20200625,1
92118_merged_14708355,20200505,1
92118_merged_14708355,20200504,1
92118_merged_14708355,20200507,1
92118_merged_14708355,20200506,1
92118_merged_14708355,20200501,1
92118_merged_14708355,20200427,1
92118_merged_14708355,20200529,1
92118_merged_14708355,20200528,1
92118_merged_14708355,20200527,1
92118_merged_14708355,20200526,1
92118_merged_14708355,20200428,1
92118_merged_14708355,20200429,1
92118_merged_14708355,20200508,1
92118_merged_14708355,20200521,1
92118_merged_14708355,20200520,1
92118_merged_14708355,20200611,1
92118_merged_14708355,20200610,1
92118_merged_14708355,20200626,1
92118_merged_14708355,20200414,1
92118_merged_14708355,20200615,1
92118_merged_14708355,20200617,1
92118_merged_14708355,20200616,1
92118_merged_14708355,20200619,1
92118_merged_14708355,20200618,1
92118_merged_14708355,20200522,1
92118_merged_14708355,20200612,1
92118_merged_14708355,20200415,1
92118_merged_14708355,20200512,1
92118_merged_14708355,20200513,1
92118_merged_14708355,20200511,1
92118_merged_14708355,20200430,1
92118_merged_14708355,20200514,1
92118_merged_14708355,20200515,1
92118_merged_14708355,20200417,1
92118_merged_14708355,20200416,1
92118_merged_14708355,20200518,1
92118_merged_14708355,20200519,1
92118_merged_14708355,20200413,1
92118_merged_14708355,20200422,1
92118_merged_14708355,20200608,1
92118_merged_14708355,20200609,1
92118_merged_14708355,20200622,1
92118_merged_14708355,20200623,1
92118_merged_14708355,20200624,1
92118_merged_14708355,20200603,1
92118_merged_14708355,20200420,1
92118_merged_14708355,20200601,1
92118_merged_14708355,20200421,1
92118_merged_14708355,20200604,1
70250-0000010-0,20200217,1
70504-1111100-0,20200423,1
70504-1111100-0,20200605,1
70504-1111100-0,20200424,1
70504-1111100-0,20200602,1
70504-1111100-0,20200625,1
70504-1111100-0,20200505,1
70504-1111100-0,20200504,1
70504-1111100-0,20200507,1
70504-1111100-0,20200506,1
70504-1111100-0,20200501,1
70504-1111100-0,20200427,1
