fare_id,route_id,origin_id,destination_id,contains_id
CASH_250,945,,,
CASH_250,8,,,
CASH_250,852,,,
CASH_250,832,,,
CASH_250,204,,,
CASH_250,83,,,
CASH_250,875,,,
CASH_250,856,,,
CASH_250,31,,,
CASH_250,84,,,
CASH_250,946,,,
CASH_250,964,,,
CASH_250,904,,,
CASH_250,816,,,
CASH_250,936,,,
CASH_250,88,,,
CASH_250,923,,,
CASH_250,1,,,
CASH_250,28,,,
CASH_250,838,,,
CASH_250,3,,,
CASH_250,25,,,
CASH_250,963,,,
CASH_250,874,,,
CASH_250,709,,,
CASH_250,834,,,
CASH_250,933,,,
CASH_250,150,,,
CASH_250,701,,,
CASH_250,905,,,
CASH_250,909,,,
CASH_250,225,,,
CASH_250,60,,,
CASH_250,235,,,
CASH_250,934,,,
CASH_250,201,,,
CASH_250,950,,,
CASH_250,916,,,
CASH_250,105,,,
CASH_250,712,,,
CASH_250,10,,,
CASH_250,704,,,
CASH_250,965,,,
CASH_250,929,,,
CASH_250,907,,,
CASH_250,115,,,
CASH_250,901,,,
CASH_250,50,,,
CASH_250,30,,,
CASH_250,872,,,
CASH_250,237,,,
CASH_250,5,,,
CASH_250,12,,,
CASH_250,707,,,
CASH_250,44,,,
CASH_250,855,,,
CASH_250,41,,,
CASH_250,906,,,
CASH_250,35,,,
CASH_250,968,,,
CASH_250,932,,,
CASH_250,13,,,
CASH_250,851,,,
CASH_250,11,,,
CASH_250,917,,,
CASH_250,992,,,
CASH_250,120,,,
CASH_250,4,,,
CASH_250,110,,,
CASH_250,961,,,
CASH_1000,894,,,
CASH_1000,892,,,
CASH_1000,888,,,
CASH_1000,891,,,
FREEAIR,AIR,,,
tr0,520,,,
tr0,550,,,
tr0,510,,,
tr0,530,,,
